id,cohort,freq,level,mag,phase
WT-2,WT (mixed C57BL/6:FVB),4,70,28.9770884123924,-8.401301157672556
WT-2,WT (mixed C57BL/6:FVB),4,80,114.300659493194,-7.356519003013734
WT-2,WT (mixed C57BL/6:FVB),4.5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),4.5,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),4.5,30,0.702983667191888,-7.754070866182912
WT-2,WT (mixed C57BL/6:FVB),4.5,40,2.11176267807309,-8.697203005400702
WT-2,WT (mixed C57BL/6:FVB),4.5,50,5.28380082190565,-8.655466623467284
WT-2,WT (mixed C57BL/6:FVB),4.5,60,15.7623605660502,-8.613783757020107
WT-2,WT (mixed C57BL/6:FVB),4.5,70,46.6852883565829,-9.230315618800288
WT-2,WT (mixed C57BL/6:FVB),4.5,80,137.969148877909,-10.234842353429832
WT-2,WT (mixed C57BL/6:FVB),5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),5,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),5,30,1.2102201367654,-11.19324382935496
WT-2,WT (mixed C57BL/6:FVB),5,40,2.66669573785042,-10.23168660520574
WT-2,WT (mixed C57BL/6:FVB),5,50,6.82157698376052,-11.392858980780016
WT-2,WT (mixed C57BL/6:FVB),5,60,16.7176860408256,-11.664552937280588
WT-2,WT (mixed C57BL/6:FVB),5,70,43.8018843644772,-11.99014897102014
WT-2,WT (mixed C57BL/6:FVB),5,80,133.019851638019,-12.943358833421629
WT-2,WT (mixed C57BL/6:FVB),5.5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),5.5,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),5.5,30,1.23144319638404,-12.858065638349236
WT-2,WT (mixed C57BL/6:FVB),5.5,40,3.34541033555907,-13.154090307577176
WT-2,WT (mixed C57BL/6:FVB),5.5,50,10.4262807628581,-13.252667862620717
WT-2,WT (mixed C57BL/6:FVB),5.5,60,15.6748783807755,-12.805676862185209
WT-2,WT (mixed C57BL/6:FVB),5.5,70,47.2074899788868,-14.562516051374196
WT-2,WT (mixed C57BL/6:FVB),5.5,80,131.36671719948,-15.60196519075848
WT-2,WT (mixed C57BL/6:FVB),6,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),6,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),6,30,1.18544895002257,-15.294300179537387
WT-2,WT (mixed C57BL/6:FVB),6,40,3.68125269173718,-15.232805396705656
WT-2,WT (mixed C57BL/6:FVB),6,50,8.10024585372502,-15.19615562249712
WT-2,WT (mixed C57BL/6:FVB),6,60,19.512895934171,-15.4775997731008
